id,attr_name,attr_coords,attr_desc
1,Carlow Town Walk - Slí na Sláinte,"-6.929489,52.83525",https://carlowtourism.com/carlow-town-walk/
2,The Táin Way,"-6.39708,54.004607",http://carlingfordandcooleypeninsula.ie/carlingford-activities/walking-trails/t%C3%A1in-way
3,Muckross Friary,"-9.504292,52.018083",http://www.heritageireland.ie/en
4,Gorman Lane Loop Walk,"-7.182288,52.592353",http://www.irishtrails.ie/Trail/O-Gormans-Lane-/583/
5,South Mayo Family Research Centre,"-9.222428,53.623485",http://www.mayoroots.com/
6,Kilgarvan Motor Museum,"-9.434164,51.889134",https://www.facebook.com/Kilgarvan-Motormuseum-708264642618370
7,Kanturk Castle,"-8.90273,52.164382",https://www.castles.nl/kanturk-castle
8,Clare Island - Knocknaveen Loop,"-9.988142,53.792455",http://www.clareisland.info
9,Newmills Corn And Flax Mills,"-7.808195,54.929103",https://heritageireland.ie/places-to-visit/newmills-corn-and-flax-mills/
10,Maynooth Ecclesiastical Museum,"-6.598102,53.378611",http://museum.maynoothcollege.ie
11,"Walking - The Western Way, Galway","-9.048728,53.276473",http://www.thewesternway.ie
12,St Brigid’s Cathedral & Round Tower,"-6.911371,53.157927",http://www.stbrigidscathedral.com/
13,Ballintubber Abbey,"-9.282757,53.756722",https://www.ballintubberabbey.ie/the-abbey/
14,Tipperary Heritage Way,"-7.88583,52.516411",http://www.irishtrails.ie/trail/tipperary-heritage-way/36/
15,The Mid Clare Way,"-8.899006,52.760668",https://www.sportireland.ie/outdoors/walking/trails/mid-clare-way
16,Inishbiggle - Bull Mouth Loop Walk,"-9.900782,53.995116",http://www.irishtrails.ie/Trail/Achill-Island---Bull-s-Mouth-Loop/495/
17,Broadford Ashford Walking Trails - Killagholehane Way,"-8.972707,52.346003",http://walkbroadfordashford.com/trail/killagholehane-way/
18,The South Leinster Way,"-6.92881,52.602079",http://www.irishtrails.ie/Trail/South-Leinster-Way/33/
19,Michael J Quill Centre,"-9.46143,51.902656",http://www.historic-ireland.com/places/778.html
20,The Sligo Way,"-8.46535,54.2711",https://sligowalks.ie/walks/the-sligo-way/
21,Dwyer McAllister Cottage,"-6.564811,52.961927",http://www.heritageireland.ie/en/midlands-eastcoast/dwyermcallistercottage
22,Coolmelagh - Prospect Loop,"-6.580391,52.686197",http://www.irishtrails.ie/Trail/Coolmelagh---Prospect-Loop/427/
23,Waterford County Museum,"-7.619401,52.088633",https://www.waterfordmuseum.ie/exhibit/web
24,Inishbiggle - Gubnadoogha Loop Walk,"-9.908755,53.996015",http://www.irishtrails.ie/Trail/Achill-Island---Gubnadoogha-Loop/494/
25,Rinn Duin Castle Loop,"-8.004326,53.544197",https://www.sportireland.ie/outdoors/walking/trails/rinn-duin-castle-loop?county=53&grade=402&length=All#list
26,Glanteenassig Wood,"-10.029291,52.205709",http://www.coillteoutdoors.ie
